community,county,tier,url (unchanged),fallback shown on site
Alaqua Ph 1,Seminole,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alaqua-Ph-1/,https://www.paradiserealtyfla.com/seminole-county/
Alaska Sub,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alaska-Sub/,https://www.paradiserealtyfla.com/pasco-county/
Alavista Sub Unit One,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alavista-Sub-Unit-One/,https://www.paradiserealtyfla.com/hillsborough-county/
Albany Gardens Twnhms,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Albany-Gardens-Twnhms/,https://www.paradiserealtyfla.com/hillsborough-county/
Albert Gibson Estates,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Albert-Gibson-Estates/,https://www.paradiserealtyfla.com/broward-county/
Alcove,Sarasota,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alcove/,https://www.paradiserealtyfla.com/sarasota-county/
Alcove Ist Add,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alcove-Ist-Add/,https://www.paradiserealtyfla.com/pinellas-county/
Alden Pines Sub,Lee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alden-Pines-Sub/,https://www.paradiserealtyfla.com/lee-county/
Alderman Ridge,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alderman-Ridge/,https://www.paradiserealtyfla.com/pinellas-county/
Alexander Hamilton Coop,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alexander-Hamilton-Coop/,https://www.paradiserealtyfla.com/broward-county/
Alhambra Court,Sarasota,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alhambra-Court/,https://www.paradiserealtyfla.com/sarasota-county/
Alhambra Park,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alhambra-Park/,https://www.paradiserealtyfla.com/palm-beach-county/
Alhambra Park Pl In,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alhambra-Park-Pl-In/,https://www.paradiserealtyfla.com/palm-beach-county/
Alhambra Place,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alhambra-Place/,https://www.paradiserealtyfla.com/broward-county/
Alicante,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alicante/,https://www.paradiserealtyfla.com/palm-beach-county/
Alicia 1,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alicia-1/,https://www.paradiserealtyfla.com/palm-beach-county/
Alicia Acres,Marion,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alicia-Acres/,https://www.paradiserealtyfla.com/marion-county/
Alico Estates,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alico-Estates/,https://www.paradiserealtyfla.com/pasco-county/
Aljean Shores Condo,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Aljean-Shores-Condo/,https://www.paradiserealtyfla.com/pinellas-county/
All The Way Sub,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/All-The-Way-Sub/,https://www.paradiserealtyfla.com/orange-county/
Allapatchee Shores,Charlotte,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allapatchee-Shores/,https://www.paradiserealtyfla.com/charlotte-county/
Allen Apts,Brevard,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allen-Apts/,https://www.paradiserealtyfla.com/brevard-county/
Allen R G,St. Lucie,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allen-R-G/,https://www.paradiserealtyfla.com/st-lucie-county/
Allendale Acres,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allendale-Acres/,https://www.paradiserealtyfla.com/hillsborough-county/
Allendale Terrace Rep,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allendale-Terrace-Rep/,https://www.paradiserealtyfla.com/pinellas-county/
Allens Cove,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allens-Cove/,https://www.paradiserealtyfla.com/hillsborough-county/
Allens Ridge,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allens-Ridge/,https://www.paradiserealtyfla.com/pinellas-county/
Allens Small Farms,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allens-Small-Farms/,https://www.paradiserealtyfla.com/pasco-county/
Allenwood Add,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allenwood-Add/,https://www.paradiserealtyfla.com/broward-county/
Alliance Condominium Association,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alliance-Condominium-Association/,https://www.paradiserealtyfla.com/orange-county/
Allreds Add,Marion,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allreds-Add/,https://www.paradiserealtyfla.com/marion-county/
Allways,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allways/,https://www.paradiserealtyfla.com/orange-county/
Allyon Park,Volusia,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allyon-Park/,https://www.paradiserealtyfla.com/volusia-county/
Allyon Park 05 Grant,Marion,resale,https://www.paradiserealtyfla.com/listings/subdivision/Allyon-Park-05-Grant/,https://www.paradiserealtyfla.com/marion-county/
Alma Heights,Volusia,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alma-Heights/,https://www.paradiserealtyfla.com/volusia-county/
Almeda,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Almeda/,https://www.paradiserealtyfla.com/broward-county/
Aloma Park,Seminole,resale,https://www.paradiserealtyfla.com/listings/subdivision/Aloma-Park/,https://www.paradiserealtyfla.com/seminole-county/
Aloma Woods Ph 3,Seminole,resale,https://www.paradiserealtyfla.com/listings/subdivision/Aloma-Woods-Ph-3/,https://www.paradiserealtyfla.com/seminole-county/
Aloma Woods Ph 4,Seminole,resale,https://www.paradiserealtyfla.com/listings/subdivision/Aloma-Woods-Ph-4/,https://www.paradiserealtyfla.com/seminole-county/
Aloma Woods Ph 5,Seminole,resale,https://www.paradiserealtyfla.com/listings/subdivision/Aloma-Woods-Ph-5/,https://www.paradiserealtyfla.com/seminole-county/
Alora Luxury Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alora-Luxury-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Alpine Woods,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alpine-Woods/,https://www.paradiserealtyfla.com/broward-county/
Alston Heights 3 Rep,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alston-Heights-3-Rep/,https://www.paradiserealtyfla.com/pinellas-county/
Alta Bunts Unrec Sub,Citrus,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alta-Bunts-Unrec-Sub/,https://www.paradiserealtyfla.com/citrus-county/
Alta Vista Add,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alta-Vista-Add/,https://www.paradiserealtyfla.com/pinellas-county/
Alta Vista Resub,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alta-Vista-Resub/,https://www.paradiserealtyfla.com/polk-county/
Alterra,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alterra/,https://www.paradiserealtyfla.com/hillsborough-county/
Altoona,Lake,resale,https://www.paradiserealtyfla.com/listings/subdivision/Altoona/,https://www.paradiserealtyfla.com/lake-county/
Alvarez Grant,Marion,resale,https://www.paradiserealtyfla.com/listings/subdivision/Alvarez-Grant/,https://www.paradiserealtyfla.com/marion-county/
Amanda Oaks,Polk,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amanda-Oaks/,https://www.paradiserealtyfla.com/polk-county/
Amaretto 1st Add,Miami-Dade,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amaretto-1st-Add/,https://www.paradiserealtyfla.com/miami-dade-county/
Ambassador Ii,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ambassador-Ii/,https://www.paradiserealtyfla.com/palm-beach-county/
Ambassador South,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ambassador-South/,https://www.paradiserealtyfla.com/broward-county/
Ambassador South Dev Corp,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ambassador-South-Dev-Corp/,https://www.paradiserealtyfla.com/palm-beach-county/
Ambassador Square Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ambassador-Square-Condo/,https://www.paradiserealtyfla.com/broward-county/
Ambassadors V South,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ambassadors-V-South/,https://www.paradiserealtyfla.com/palm-beach-county/
Amber Glen,Manatee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amber-Glen/,https://www.paradiserealtyfla.com/manatee-county/
Amber Ridge,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amber-Ridge/,https://www.paradiserealtyfla.com/orange-county/
Amber Sweet Farms Unit One,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amber-Sweet-Farms-Unit-One/,https://www.paradiserealtyfla.com/hillsborough-county/
Amber Woods Ph Ii,Hernando,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amber-Woods-Ph-Ii/,https://www.paradiserealtyfla.com/hernando-county/
Amberly Oaks Twnhms,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amberly-Oaks-Twnhms/,https://www.paradiserealtyfla.com/hillsborough-county/
Amberly Ph I,Manatee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amberly-Ph-I/,https://www.paradiserealtyfla.com/manatee-county/
Amberwoods Of Boca 1st Add,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amberwoods-Of-Boca-1st-Add/,https://www.paradiserealtyfla.com/palm-beach-county/
Amberwoods Of Boca 2nd Add,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amberwoods-Of-Boca-2nd-Add/,https://www.paradiserealtyfla.com/palm-beach-county/
Ambleside 2nd Add,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ambleside-2nd-Add/,https://www.paradiserealtyfla.com/pinellas-county/
Amelia Walk,Nassau,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amelia-Walk/,https://www.paradiserealtyfla.com/nassau-county/
American Condo Parks Zephyrhills Ph Ii,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/American-Condo-Parks-Zephyrhills-Ph-Ii/,https://www.paradiserealtyfla.com/pasco-county/
American Condominium,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/American-Condominium/,https://www.paradiserealtyfla.com/pasco-county/
American Condominium Park Zephyrhills,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/American-Condominium-Park-Zephyrhills/,https://www.paradiserealtyfla.com/pasco-county/
American Gardens,Putnam,resale,https://www.paradiserealtyfla.com/listings/subdivision/American-Gardens/,https://www.paradiserealtyfla.com/putnam-county/
American Homes At Boca Raton 4,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/American-Homes-At-Boca-Raton-4/,https://www.paradiserealtyfla.com/palm-beach-county/
Americana Village,Miami-Dade,resale,https://www.paradiserealtyfla.com/listings/subdivision/Americana-Village/,https://www.paradiserealtyfla.com/miami-dade-county/
Americas On The Park,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Americas-On-The-Park/,https://www.paradiserealtyfla.com/broward-county/
Americas On The Park Cond,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Americas-On-The-Park-Cond/,https://www.paradiserealtyfla.com/broward-county/
Ameritrail Sec Two,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ameritrail-Sec-Two/,https://www.paradiserealtyfla.com/broward-county/
Amrit Ocean Resort,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Amrit-Ocean-Resort/,https://www.paradiserealtyfla.com/palm-beach-county/
Anadell Sub,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anadell-Sub/,https://www.paradiserealtyfla.com/hillsborough-county/
Anand Vihar Ph 2,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anand-Vihar-Ph-2/,https://www.paradiserealtyfla.com/pasco-county/
Anchor Bay Club,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anchor-Bay-Club/,https://www.paradiserealtyfla.com/broward-county/
Anchorage Condo,Lee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anchorage-Condo/,https://www.paradiserealtyfla.com/lee-county/
Anchorage East At Jonathans Landing Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anchorage-East-At-Jonathans-Landing-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Anchorage Of Tarpon Lake Unit One The,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anchorage-Of-Tarpon-Lake-Unit-One-The/,https://www.paradiserealtyfla.com/pinellas-county/
Ancient Oaks R V Residence V,Okeechobee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ancient-Oaks-R-V-Residence-V/,https://www.paradiserealtyfla.com/okeechobee-county/
Ancient Oaks Rv Residence #I,Okeechobee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ancient-Oaks-Rv-Residence-I/,https://www.paradiserealtyfla.com/okeechobee-county/
Ancient Oaks Rv Resort,Okeechobee,resale,https://www.paradiserealtyfla.com/listings/subdivision/Ancient-Oaks-Rv-Resort/,https://www.paradiserealtyfla.com/okeechobee-county/
Anclote Point Twnhms,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anclote-Point-Twnhms/,https://www.paradiserealtyfla.com/pinellas-county/
Andalucia Pud Plat 3,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andalucia-Pud-Plat-3/,https://www.paradiserealtyfla.com/palm-beach-county/
Andalucia Pud Plat 4,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andalucia-Pud-Plat-4/,https://www.paradiserealtyfla.com/palm-beach-county/
Andalucia Pud Plat 6,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andalucia-Pud-Plat-6/,https://www.paradiserealtyfla.com/palm-beach-county/
Andare,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andare/,https://www.paradiserealtyfla.com/broward-county/
Anderson Hunter Estates,Duval,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anderson-Hunter-Estates/,https://www.paradiserealtyfla.com/duval-county/
Andora Subdivision,Orange,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andora-Subdivision/,https://www.paradiserealtyfla.com/orange-county/
Andoric,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andoric/,https://www.paradiserealtyfla.com/broward-county/
Andover 1st Add,Miami-Dade,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andover-1st-Add/,https://www.paradiserealtyfla.com/miami-dade-county/
Andover Condo,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andover-Condo/,https://www.paradiserealtyfla.com/palm-beach-county/
Andover F Condo,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andover-F-Condo/,https://www.paradiserealtyfla.com/hillsborough-county/
Andover I Condo,Hillsborough,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andover-I-Condo/,https://www.paradiserealtyfla.com/hillsborough-county/
Andover Ridge,Volusia,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andover-Ridge/,https://www.paradiserealtyfla.com/volusia-county/
Andros Isle,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andros-Isle/,https://www.paradiserealtyfla.com/palm-beach-county/
Andros Isle Repl,Palm Beach,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andros-Isle-Repl/,https://www.paradiserealtyfla.com/palm-beach-county/
Andros Village D Condo,Broward,resale,https://www.paradiserealtyfla.com/listings/subdivision/Andros-Village-D-Condo/,https://www.paradiserealtyfla.com/broward-county/
Angela Acres Unrec Sub,Citrus,resale,https://www.paradiserealtyfla.com/listings/subdivision/Angela-Acres-Unrec-Sub/,https://www.paradiserealtyfla.com/citrus-county/
Angelas Gardens,Pinellas,resale,https://www.paradiserealtyfla.com/listings/subdivision/Angelas-Gardens/,https://www.paradiserealtyfla.com/pinellas-county/
Angeline Ph 4d,Pasco,resale,https://www.paradiserealtyfla.com/listings/subdivision/Angeline-Ph-4d/,https://www.paradiserealtyfla.com/pasco-county/
Anglers Haven,Sumter,resale,https://www.paradiserealtyfla.com/listings/subdivision/Anglers-Haven/,https://www.paradiserealtyfla.com/sumter-county/
